Stock_Number,Sale_Date,Inventory_Date,Make,Model,Year,Mileage,Store_Name,Stock_Type,Price,Front_Gross,Back_Gross
T3671415,5/5/2021,4/1/2021,TOYOTA,CAMR,2021,8371,Riverside Toyota,Used,4505,-240,0
M3655422,5/5/2021,4/9/2021,TOYOTA,RAV4,2021,45081,Riverside Toyota,Used,21400,68.94,0
L8028839,5/6/2021,3/10/2021,INFINITI,QX56,2021,30365,Riverside Toyota,Used,21838,1185.54,0
S3002515,5/6/2021,3/14/2021,TOYOTA,TUND,2021,29994,Riverside Toyota,Used,39799,202.09,1283.76
N3250625,5/6/2021,3/7/2021,TOYOTA,4RUN,2021,34515,Riverside Toyota,Used,41399,1954,4704.52
N6831001,5/6/2021,3/26/2021,SUBARU,BRZ,2021,68172,Riverside Toyota,Used,26749,1279,0
S7914173,5/6/2021,3/24/2021,CHEVROLET,SILV25,2021,78072,Riverside Toyota,Used,54799,3666.26,4769.62
L3574827,5/6/2021,2/27/2021,TOYOTA,4RUN,2021,45258,Riverside Toyota,Used,39999,5927,1471.49
T3005762,5/7/2021,3/12/2021,TOYOTA,RAV4,2021,35028,Riverside Toyota,Used,22999,1149.46,1458
L6851583,5/7/2021,3/5/2021,LEXUS,RX350,2021,24341,Riverside Toyota,Used,27899,3756.27,825.84
S7809887,5/7/2021,4/17/2021,TOYOTA,CAMHYB,2021,49028,Riverside Toyota,Used,17499,2249.16,1921
S4501092,5/7/2021,4/8/2021,JEEP,CHER,2021,68743,Riverside Toyota,Used,15799,2504.64,1660.01
S4805068,5/7/2021,3/6/2021,TOYOTA,CAMR,2021,38289,Riverside Toyota,Used,23799,419.2,3822.5
S4557504,5/7/2021,4/2/2021,CADILLAC,ESCAL,2021,6315,Riverside Toyota,Used,30299,2682.2,198.72
N1994680,5/7/2021,3/3/2021,TOYOTA,COROL,2021,52050,Riverside Toyota,Used,15331.83,-841,788
L8168329,5/7/2021,4/10/2021,TOYOTA,COROL,2021,56780,Riverside Toyota,Used,14399,205.08,1172.21
K2808988,5/7/2021,2/28/2021,TOYOTA,HIGH,2021,18212,Riverside Toyota,Used,33584,-770.83,0
L2582646,5/7/2021,3/24/2021,TOYOTA,RAV4,2021,44647,Riverside Toyota,Used,25099,1369.4,0
S2820053,5/7/2021,2/27/2021,TOYOTA,HIGHLN,2021,48768,Riverside Toyota,Used,38648,1500.64,600
M7362776,5/7/2021,4/6/2021,TOYOTA,COROL,2021,40903,Riverside Toyota,Used,16899,1125.13,0
S8764680,5/7/2021,3/24/2021,HONDA,ACCO,2021,30138,Riverside Toyota,Used,18632.8,-321.46,0
T1063283,5/8/2021,4/2/2021,TOYOTA,COROL,2021,57239,Riverside Toyota,Used,12322.12,1805.55,0
T4659432,5/8/2021,3/24/2021,TOYOTA,AVAL,2021,35949,Riverside Toyota,Used,15399,-1868.27,819.91
T2762464,5/8/2021,3/4/2021,TOYOTA,HIGH,2021,19722,Riverside Toyota,Used,40199,1538.2,4819.47
K5524207,5/8/2021,3/2/2021,TOYOTA,RAV4,2021,11257,Riverside Toyota,Used,29799,1446.63,2452.42
S1794900,5/8/2021,4/5/2021,TOYOTA,CAMR,2021,60912,Riverside Toyota,Used,17099,2552.94,3115
S8563277,5/8/2021,3/9/2021,TOYOTA,HIGH,2021,51249,Riverside Toyota,Used,36899,1124.62,5467.69
K5194298,5/8/2021,3/14/2021,HONDA,CIVI,2021,43319,Riverside Toyota,Used,17499,2864.91,1604.02
S5127069,5/8/2021,3/27/2021,TOYOTA,COROL,2021,35395,Riverside Toyota,Used,11400,1112.54,2724.4
S4267208,5/8/2021,3/7/2021,TOYOTA,HIGH,2021,34065,Riverside Toyota,Used,24700.76,504.41,0
N7274939,5/8/2021,4/13/2021,TOYOTA,PRIUSV,2021,25863,Riverside Toyota,Used,13699,2205.04,200
N2606125,5/8/2021,3/3/2021,TOYOTA,HIGH,2021,35528,Riverside Toyota,Used,35799,1107.37,199.06
K8348575,5/8/2021,4/14/2021,GMC,TERRN,2021,10198,Riverside Toyota,Used,13988.55,1084.22,0
T2140591,5/9/2021,3/8/2021,TOYOTA,COROL,2021,30959,Riverside Toyota,Used,19913.56,-527.57,0
S5427670,5/9/2021,3/26/2021,TOYOTA,CHR,2021,37335,Riverside Toyota,Used,18799,-592.14,0
M4032356,5/9/2021,4/2/2021,BUICK,ENCR,2021,51148,Riverside Toyota,Used,12099,1224.55,1228.45
T7683560,5/9/2021,4/7/2021,TOYOTA,CAMR,2021,41401,Riverside Toyota,Used,10699,257.45,0
L4319015,5/10/2021,3/9/2021,CHEVROLET,SILV15,2021,53923,Riverside Toyota,Used,17273.57,2870.28,0
K3785106,5/10/2021,4/7/2021,TOYOTA,CAMR,2021,62237,Riverside Toyota,Used,23799,3372.08,549.6
K9308310,5/10/2021,3/24/2021,KIA,SOUL,2021,57872,Riverside Toyota,Used,11799,1254.13,0
L9159869,5/10/2021,4/3/2021,FORD,MUST,2021,49057,Riverside Toyota,Used,15899,3239.66,0
K4627679,5/10/2021,3/24/2021,TOYOTA,CAMR,2021,42177,Riverside Toyota,Used,25399,356.95,0
L6307688,5/10/2021,3/1/2021,JEEP,WRANU,2021,27288,Riverside Toyota,Used,33899,1733.15,2294
N1208848,5/11/2021,3/26/2021,TOYOTA,RAV4,2021,53099,Riverside Toyota,Used,30398.83,4250.47,5038.69
T9021086,5/11/2021,3/21/2021,TOYOTA,RAV4,2021,67196,Riverside Toyota,Used,21041.31,0,1339
K9409309,5/11/2021,3/6/2021,TOYOTA,4RUN,2021,47131,Riverside Toyota,Used,38752.75,2316.37,0
T8136187,5/11/2021,4/13/2021,TOYOTA,YARIS,2021,70758,Riverside Toyota,Used,5733.05,1051.63,0
T3007487,5/11/2021,3/13/2021,HONDA,ACCO,2021,19116,Riverside Toyota,Used,21642.5,-709.89,0
N5440081,5/11/2021,3/21/2021,TOYOTA,LANT,2021,24687,Riverside Toyota,Used,89300.75,2546.58,0
K8685900,5/11/2021,4/2/2021,TOYOTA,HIGH,2021,54828,Riverside Toyota,Used,21399,3465.85,0
M5944087,5/12/2021,3/26/2021,CHEVROLET,CRUZE,2021,45964,Riverside Toyota,Used,9995,-601.9,196
K8512654,5/12/2021,3/21/2021,TOYOTA,RAV4,2021,61706,Riverside Toyota,Used,17299,21,0
T8092642,5/12/2021,4/19/2021,TOYOTA,CAMR,2021,41767,Riverside Toyota,Used,29198,1628,2268.07
K7151229,5/12/2021,3/8/2021,KIA,SORENT,2021,28980,Riverside Toyota,Used,16099,2917.33,2710.01
S1244124,5/12/2021,3/20/2021,CHEVROLET,CORV,2021,38796,Riverside Toyota,Used,32200,868.4,411.89
K2670468,5/12/2021,3/6/2021,TOYOTA,CAMR,2021,19009,Riverside Toyota,Used,24498,883,2047.55
K9944475,5/12/2021,4/20/2021,NISSAN,ROGUE,2021,25071,Riverside Toyota,Used,26885.22,1149.13,0
S9768753,5/13/2021,3/29/2021,TOYOTA,RAV4,2021,56586,Riverside Toyota,Used,25799,191.51,2835.72
K5853409,5/13/2021,4/16/2021,ACURA,RDX,2021,55091,Riverside Toyota,Used,12699,1619.81,200
K7142221,5/13/2021,4/18/2021,FORD,FOCUS,2021,47445,Riverside Toyota,Used,7322.12,2322.79,0
N7913987,5/13/2021,4/8/2021,TOYOTA,HIGH,2021,16183,Riverside Toyota,Used,31949,1620.68,0
T5104346,5/13/2021,3/31/2021,LEXUS,IS250,2021,36623,Riverside Toyota,Used,21545.42,-27.22,0
T3865022,5/14/2021,3/8/2021,TOYOTA,TACO,2021,23625,Riverside Toyota,Used,32800,2457.57,443.4
K7216528,5/14/2021,3/17/2021,TOYOTA,COROL,2021,59647,Riverside Toyota,Used,20299,1729,0
K2647973,5/14/2021,3/26/2021,TOYOTA,COROL,2021,33244,Riverside Toyota,Used,7799,1414.1,0
S3482122,5/14/2021,3/11/2021,TOYOTA,4RUN,2021,25713,Riverside Toyota,Used,30099,1555.39,1454
N4780651,5/14/2021,4/12/2021,DODGE,DURA,2021,42446,Riverside Toyota,Used,23431,869.74,332.15
N9243637,5/14/2021,4/20/2021,TOYOTA,AVAL,2021,32397,Riverside Toyota,Used,31303,614,1706.75
K7307120,5/15/2021,4/1/2021,TOYOTA,CAMR,2021,64256,Riverside Toyota,Used,21399,149.24,2988.53
T7684943,5/15/2021,4/6/2021,TOYOTA,TUND,2021,30977,Riverside Toyota,Used,48098,-89.48,0
M3257325,5/15/2021,3/3/2021,TOYOTA,RAV4,2021,21011,Riverside Toyota,Used,22799,1006.01,396.17
K9398258,5/15/2021,4/8/2021,TOYOTA,TACO,2021,9706,Riverside Toyota,Used,21399,1094.18,0
L5839245,5/15/2021,3/10/2021,TOYOTA,SIENNA,2021,41538,Riverside Toyota,Used,15099,-733,155.4
N8730541,5/15/2021,4/8/2021,TOYOTA,CAMR,2021,33571,Riverside Toyota,Used,19799,1108.28,1481.86
K3182887,5/15/2021,4/24/2021,NISSAN,FRON,2021,20566,Riverside Toyota,Used,18647.36,1365.44,0
K3343956,5/15/2021,4/16/2021,HYUNDAI,SANTFE,2021,59838,Riverside Toyota,Used,16099,1546.72,1443.6
N5875303,5/15/2021,3/2/2021,TOYOTA,4RUN,2021,52008,Riverside Toyota,Used,35899,1653.07,3644.55
N9163832,5/15/2021,3/12/2021,RAM,RAMT15,2021,41576,Riverside Toyota,Used,30399,731.1,1799
L7623792,5/15/2021,3/7/2021,RAM,RAMT15,2021,62464,Riverside Toyota,Used,30747.77,3135.76,559.98
S8371931,5/15/2021,3/10/2021,TOYOTA,TACO,2021,51938,Riverside Toyota,Used,39499,-287.22,400
N4815812,5/15/2021,4/14/2021,TOYOTA,TACO,2021,29657,Riverside Toyota,Used,49075.63,2424.26,607
L3547090,5/15/2021,3/10/2021,BMW,Z4S28I,2021,26411,Riverside Toyota,Used,37499,1009.45,2811.52
K7052757,5/16/2021,4/14/2021,TOYOTA,RAV4,2021,54269,Riverside Toyota,Used,28399,-1039.57,1607
L6342429,5/16/2021,3/8/2021,VOLKSWAGEN,ATLAS,2021,47945,Riverside Toyota,Used,31099,736.03,878.59
K6512676,5/16/2021,3/11/2021,KIA,SPORK,2021,44546,Riverside Toyota,Used,15499,-59.33,1548
T4606268,5/16/2021,3/3/2021,HONDA,CRZ,2021,29302,Riverside Toyota,Used,12799,1200.16,194.64
S8063353,5/16/2021,4/16/2021,TOYOTA,CAMR,2021,51119,Riverside Toyota,Used,20799,2046.88,2908.3
S8002969,5/16/2021,4/8/2021,TOYOTA,RAV4,2021,30667,Riverside Toyota,Used,25799,-1594.99,0
S6636632,5/16/2021,3/23/2021,TOYOTA,TACO,2021,40470,Riverside Toyota,Used,34399,230.55,4442.33
L6315486,5/16/2021,3/19/2021,TOYOTA,RAV4,2021,63704,Riverside Toyota,Used,29901.22,1228.95,150
K4183816,5/17/2021,3/6/2021,TOYOTA,COROL,2021,32087,Riverside Toyota,Used,16349,1135.87,151.48
T7711502,5/17/2021,4/2/2021,DODGE,CHARO,2021,18405,Riverside Toyota,Used,34799,3371.18,2899.56
L1539984,5/17/2021,3/13/2021,HONDA,ACCO,2021,26211,Riverside Toyota,Used,19299,2433.92,2277
L7794377,5/17/2021,4/14/2021,TOYOTA,TUND,2021,56914,Riverside Toyota,Used,23987.17,466.82,0
T7400417,5/17/2021,3/5/2021,TOYOTA,CAMR,2021,45820,Riverside Toyota,Used,27099,1178.43,428
N4097546,5/18/2021,3/15/2021,TOYOTA,RAV4,2021,40066,Riverside Toyota,Used,15234.74,2414.68,0
N5047738,5/18/2021,3/16/2021,CHEVROLET,MALI,2021,34363,Riverside Toyota,Used,18799,1718.06,2485.55
K7070872,5/18/2021,4/5/2021,TOYOTA,COROL,2021,49280,Riverside Toyota,Used,7400,1070,0
T4927698,5/18/2021,3/19/2021,TOYOTA,RAV4,2021,29263,Riverside Toyota,Used,26601.49,169.78,0
M3803926,5/19/2021,4/29/2021,TOYOTA,PRIUSV,2021,46584,Riverside Toyota,Used,9799,1770.14,0
T1162353,5/19/2021,3/10/2021,CHRYSLER,PACIF,2021,31031,Riverside Toyota,Used,19499,2519.82,0
K9083739,5/19/2021,3/18/2021,SUBARU,OUTB,2021,28535,Riverside Toyota,Used,20865.81,-660.31,0
T7426642,5/19/2021,3/6/2021,TOYOTA,HIGH,2021,32437,Riverside Toyota,Used,44307.2,440.84,0
M7618579,5/19/2021,4/8/2021,TOYOTA,CAMHYB,2021,36368,Riverside Toyota,Used,21698,1194.68,1502
N7652496,5/19/2021,4/7/2021,TOYOTA,HIGHLN,2021,41267,Riverside Toyota,Used,34099,2313.15,5169.22
L4730231,5/19/2021,3/7/2021,TOYOTA,HIGH,2021,45531,Riverside Toyota,Used,39799,3812,2688.6
L1773132,5/19/2021,4/11/2021,TOYOTA,RAV4,2021,5000,Riverside Toyota,Used,26399.79,-617.17,1173.85
K8411643,5/19/2021,4/12/2021,TOYOTA,LANT,2021,29885,Riverside Toyota,Used,81006.81,3325.14,4386.98
S7361895,5/20/2021,4/19/2021,TOYOTA,HIGH,2021,36126,Riverside Toyota,Used,33098,572.76,2798.7
L6831934,5/20/2021,3/7/2021,CHEVROLET,TAHO,2021,64575,Riverside Toyota,Used,47599,607.23,4254.41
K3659446,5/20/2021,4/3/2021,TOYOTA,HIGH,2021,25799,Riverside Toyota,Used,13315,380,0
M3171851,5/20/2021,4/3/2021,ACURA,MDX,2021,44441,Riverside Toyota,Used,18599,1134.53,817.05
S6293107,5/20/2021,3/29/2021,TOYOTA,COROL,2021,64425,Riverside Toyota,Used,19299,233.01,976.32
M6146428,5/20/2021,4/12/2021,HONDA,CRV,2021,22305,Riverside Toyota,Used,25800,112.87,1076.25
L7187347,5/20/2021,4/3/2021,JAGUAR,XE,2021,47909,Riverside Toyota,Used,20799,-346.83,3003.37
M9854916,5/20/2021,3/10/2021,TOYOTA,CAMHYB,2021,29965,Riverside Toyota,Used,24699,66.15,4144.65
M3860992,5/21/2021,3/14/2021,TOYOTA,CAMR,2021,34430,Riverside Toyota,Used,18535.71,-992.5,1251
S5635458,5/21/2021,3/26/2021,TOYOTA,COROL,2021,29953,Riverside Toyota,Used,18599,569.15,2029
S7980838,5/21/2021,4/6/2021,TOYOTA,RAV4,2021,31022,Riverside Toyota,Used,26499,-602.43,2350
K7495991,5/21/2021,3/28/2021,HONDA,ACCO,2021,82828,Riverside Toyota,Used,28799,741.46,485
S3875734,5/21/2021,3/29/2021,TOYOTA,TACO,2021,54666,Riverside Toyota,Used,43599,5464.86,3175.04
L4467657,5/21/2021,3/28/2021,TOYOTA,RAV4,2021,58526,Riverside Toyota,Used,24514.56,233.27,0
L7632046,5/21/2021,3/23/2021,FORD,MUST,2021,49379,Riverside Toyota,Used,22911,1494.4,200
S7770022,5/22/2021,4/17/2021,TOYOTA,HIGH,2021,17906,Riverside Toyota,Used,37799,1123.47,128.88
L2502098,5/22/2021,3/26/2021,TOYOTA,HIGH,2021,47924,Riverside Toyota,Used,7750,2755,0
T1486591,5/22/2021,4/20/2021,TOYOTA,RAV4,2021,58093,Riverside Toyota,Used,30799,12.87,1745
K6397341,5/22/2021,4/10/2021,TOYOTA,COROL,2021,29199,Riverside Toyota,Used,10186.19,1551.06,727.07
S6407393,5/22/2021,3/10/2021,TOYOTA,COROL,2021,56479,Riverside Toyota,Used,10590.47,775.53,0
S8001825,5/22/2021,4/11/2021,MAZDA,CX5,2021,52565,Riverside Toyota,Used,22099,1074.22,2050
T6301531,5/22/2021,4/17/2021,JEEP,WRANU,2021,69780,Riverside Toyota,Used,35799,2981.34,400
L6815468,5/22/2021,4/5/2021,TOYOTA,COROL,2021,35733,Riverside Toyota,Used,20698,3126,171.12
L5447640,5/22/2021,3/16/2021,TOYOTA,COROL,2021,25535,Riverside Toyota,Used,17299,-1046.54,3097.31
L7925902,5/22/2021,3/29/2021,TOYOTA,TACO,2021,36575,Riverside Toyota,Used,33799,7306.38,2523.71
K3393046,5/23/2021,3/20/2021,FORD,ESCA,2021,63533,Riverside Toyota,Used,9499,1226.69,0
S7852613,5/23/2021,3/19/2021,TOYOTA,CAMR,2021,14573,Riverside Toyota,Used,14299,1933.46,0
M8778074,5/23/2021,4/26/2021,TOYOTA,RAV4,2021,10974,Riverside Toyota,Used,30299,2684,1740.19
T4562516,5/23/2021,3/21/2021,HONDA,CRV,2021,43340,Riverside Toyota,Used,13799,2094.62,0
N9918569,5/23/2021,3/10/2021,HYUNDAI,SANTFE,2021,35361,Riverside Toyota,Used,9406.5,2313.85,0
S9655315,5/23/2021,3/10/2021,TOYOTA,HIGH,2021,42115,Riverside Toyota,Used,39694,-1107.63,4562.58
N6664214,5/23/2021,4/12/2021,TOYOTA,HIGH,2021,56179,Riverside Toyota,Used,23799,1851.41,3476.81
T7250773,5/23/2021,4/13/2021,TOYOTA,PRIUS,2021,33711,Riverside Toyota,Used,27698,3391.09,4376.81
S7144720,5/23/2021,4/8/2021,FORD,F250,2021,13904,Riverside Toyota,Used,45599,5307.1,3366.32
T8488086,5/23/2021,3/25/2021,TOYOTA,CAMR,2021,72667,Riverside Toyota,Used,17513.39,453.11,0
T7232661,5/24/2021,4/14/2021,TOYOTA,TACO,2021,27041,Riverside Toyota,Used,37099,727,2703.89
S7836049,5/24/2021,4/10/2021,TOYOTA,RAV4,2021,26114,Riverside Toyota,Used,21899,-1109.87,1267.32
L1016201,5/24/2021,3/25/2021,CHEVROLET,TRAV,2021,58555,Riverside Toyota,Used,16199,2115.13,985
S2881915,5/24/2021,5/4/2021,TOYOTA,SIENNA,2021,36232,Riverside Toyota,Used,18499,3127.55,0
T1243040,5/24/2021,4/29/2021,TOYOTA,CAMR,2021,41049,Riverside Toyota,Used,22599,191.28,1170.29
T1445440,5/25/2021,4/13/2021,TOYOTA,HIGH,2021,49241,Riverside Toyota,Used,25900,-1203.42,2
S6036953,5/25/2021,3/16/2021,BMW,M3SD,2021,58253,Riverside Toyota,Used,47267.62,3349.22,1567.74
S1852439,5/25/2021,4/13/2021,TOYOTA,RAV4,2021,36998,Riverside Toyota,Used,23972.6,1656.26,0
T3419692,5/25/2021,3/24/2021,FORD,F150,2021,64799,Riverside Toyota,Used,46599,163.12,2175.12
L4748343,5/25/2021,3/24/2021,TOYOTA,CAMR,2021,9963,Riverside Toyota,Used,18999,1390.44,0
L7531754,5/25/2021,4/13/2021,KIA,SPORK,2021,53396,Riverside Toyota,Used,9099,1200.44,737.87
N4750804,5/25/2021,4/4/2021,TOYOTA,VENZA,2021,29407,Riverside Toyota,Used,34166.78,25.65,600
N7667175,5/25/2021,4/6/2021,TOYOTA,CAMR,2021,62584,Riverside Toyota,Used,20499,3164.64,0
N3926620,5/25/2021,4/23/2021,TOYOTA,CAMR,2021,44130,Riverside Toyota,Used,14006,250,0
M6895306,5/26/2021,3/25/2021,TOYOTA,CAMR,2021,31906,Riverside Toyota,Used,24099,-1375.34,1762
N1861642,5/26/2021,4/19/2021,TOYOTA,TUND,2021,51942,Riverside Toyota,Used,34799,3354.28,613.03
M2080570,5/26/2021,4/14/2021,TOYOTA,HIGH,2021,55397,Riverside Toyota,Used,30698,2179.74,0
N1398604,5/26/2021,4/22/2021,JEEP,CMPSS,2021,51628,Riverside Toyota,Used,14749.3,1442.66,0
T9915709,5/27/2021,4/5/2021,KIA,SORENT,2021,26554,Riverside Toyota,Used,25299,1583.53,1472.67
M9294845,5/27/2021,4/17/2021,TOYOTA,TUND,2021,34739,Riverside Toyota,Used,35799,2875.26,1344
T1780908,5/27/2021,3/30/2021,RAM,RAMT15,2021,41938,Riverside Toyota,Used,32799,1398.17,0
K2700783,5/27/2021,4/15/2021,CHEVROLET,CORVST,2021,41381,Riverside Toyota,Used,65548.07,4211,0
S1089073,5/27/2021,4/11/2021,TOYOTA,HIGH,2021,53246,Riverside Toyota,Used,37549,3850.7,4119.65
K7007974,5/27/2021,3/24/2021,VOLKSWAGEN,PASSV,2021,11776,Riverside Toyota,Used,11499,162.78,600
S6213391,5/28/2021,3/26/2021,TOYOTA,RAV4,2021,47014,Riverside Toyota,Used,28799,4271.97,2231.34
L5572860,5/28/2021,4/21/2021,BUICK,REGA,2021,37650,Riverside Toyota,Used,6496.87,-798.68,0
S1624953,5/28/2021,4/15/2021,JEEP,WRAN,2021,29422,Riverside Toyota,Used,17900,391.33,0
L4495792,5/28/2021,3/19/2021,TOYOTA,COROL,2021,30862,Riverside Toyota,Used,15499,2133.04,221.76
T1147053,5/28/2021,3/23/2021,TOYOTA,VENZA,2021,38781,Riverside Toyota,Used,35783.31,1741.31,229.9
N8251140,5/28/2021,3/30/2021,FORD,EXPDMX,2021,5000,Riverside Toyota,Used,50799,3634.51,2909
M5002316,5/28/2021,3/19/2021,TOYOTA,HIGH,2021,31480,Riverside Toyota,Used,34299,3669.89,0
T9816770,5/28/2021,3/28/2021,TOYOTA,RAV4,2021,28862,Riverside Toyota,Used,26799,1823.46,4334.4
K9467374,5/28/2021,5/2/2021,TOYOTA,YARIS,2021,49991,Riverside Toyota,Used,18632.8,2987.8,1902.34
S5237104,5/28/2021,3/20/2021,TOYOTA,COROL,2021,29917,Riverside Toyota,Used,15199,2743.15,322.94
N1140964,5/29/2021,3/23/2021,CHEVROLET,SILV15,2021,38773,Riverside Toyota,Used,29230.31,3760.48,0
S6012740,5/29/2021,4/20/2021,SUBARU,IMPR,2021,65134,Riverside Toyota,Used,19099,295.99,0
K2386415,5/29/2021,4/13/2021,TOYOTA,VENZA,2021,56915,Riverside Toyota,Used,34399,2356.65,0
N1760010,5/29/2021,5/4/2021,TOYOTA,RAV4,2021,55534,Riverside Toyota,Used,33395,1340,877.45
T3297365,5/29/2021,4/13/2021,TOYOTA,COROL,2021,34501,Riverside Toyota,Used,21698,2462.76,0
S8139250,5/29/2021,5/1/2021,TOYOTA,HIGH,2021,50145,Riverside Toyota,Used,29312.41,516.09,3078.95
S7994491,5/29/2021,3/18/2021,TOYOTA,CAMR,2021,38491,Riverside Toyota,Used,30799,0.06,884.71
N1459318,5/29/2021,3/26/2021,KIA,SPORK,2021,39058,Riverside Toyota,Used,13199,1084.14,1418
S7398320,5/29/2021,4/9/2021,TOYOTA,RAV4,2021,48145,Riverside Toyota,Used,24943.49,343.43,1829.1
T2358419,5/29/2021,4/19/2021,TOYOTA,RAV4,2021,33045,Riverside Toyota,Used,23499,1039.44,3880.55
K3650427,5/29/2021,4/14/2021,HONDA,PILOT,2021,64395,Riverside Toyota,Used,26799,2247.28,1915.63
K5109987,5/29/2021,3/31/2021,MERCEDES-BENZ,CLA250,2021,39598,Riverside Toyota,Used,39599,825.66,1007.25
M1864319,5/29/2021,3/23/2021,TOYOTA,SCINFR,2021,51275,Riverside Toyota,Used,19099,743.03,2363.78
N2989531,5/29/2021,3/26/2021,HONDA,ACCO,2021,63834,Riverside Toyota,Used,23299,2205.73,0
T9589445,5/29/2021,4/27/2021,HONDA,ACCO,2021,57474,Riverside Toyota,Used,13330.31,1304.36,500
K6789513,5/29/2021,3/22/2021,TOYOTA,RAV4,2021,20866,Riverside Toyota,Used,36098,-30,1936.1
T6753103,5/29/2021,4/17/2021,TOYOTA,COROL,2021,48673,Riverside Toyota,Used,13266.65,-30,3170.27
M5537756,5/29/2021,4/20/2021,HONDA,PILOT,2021,54760,Riverside Toyota,Used,32699,2609.6,4326.31
T2526458,5/29/2021,4/3/2021,TOYOTA,4RUN,2021,55377,Riverside Toyota,Used,50375,3079.85,4243.32
K8872569,5/30/2021,3/18/2021,JEEP,WRANU,2021,25300,Riverside Toyota,Used,27799,1359.88,387
M5046302,5/30/2021,3/19/2021,TOYOTA,CAMR,2021,32144,Riverside Toyota,Used,25914.35,-928.06,408
S7094217,5/30/2021,4/13/2021,ACURA,RDX,2021,56918,Riverside Toyota,Used,16499,1381.91,2430.25
T5370780,5/30/2021,4/24/2021,TOYOTA,RAV4,2021,30573,Riverside Toyota,Used,28599,354.03,634.11
K7186878,5/30/2021,4/13/2021,JEEP,PATRIO,2021,37504,Riverside Toyota,Used,15599,3160.03,0
N4604363,5/31/2021,4/1/2021,TOYOTA,RAV4,2021,65638,Riverside Toyota,Used,26339,-20.21,1535.92
K7955901,5/31/2021,5/10/2021,TOYOTA,CAMHYB,2021,41283,Riverside Toyota,Used,17900,543.18,0
M7201944,5/31/2021,4/17/2021,TOYOTA,CAMR,2021,31098,Riverside Toyota,Used,24399,1162.71,1801.24
M1944742,5/31/2021,3/23/2021,TOYOTA,PRIUS,2021,28835,Riverside Toyota,Used,9786.68,1941.68,0
M9155143,5/31/2021,4/1/2021,TOYOTA,COROL,2021,46990,Riverside Toyota,Used,20962.89,518.76,843.75
S8116369,5/31/2021,5/6/2021,TOYOTA,TACO,2021,22002,Riverside Toyota,Used,23399,3324.65,524.89
N1500793,5/31/2021,5/1/2021,TOYOTA,CHR,2021,38289,Riverside Toyota,Used,25228.13,587,2812.48
N4937433,5/31/2021,4/4/2021,TOYOTA,RAV4,2021,46998,Riverside Toyota,Used,26799,1278.45,1844.1
T8751487,5/1/2021,4/6/2021,TOYOTA,RAV4,2021,50,Riverside Toyota,New,34762.98,1227.5,200
M9525751,5/1/2021,2/26/2021,TOYOTA,TACO,2021,77,Riverside Toyota,New,29912,2250.91,0
S6950894,5/1/2021,4/1/2021,TOYOTA,PRIUSM,2021,50,Riverside Toyota,New,27725,-2113.57,298.34
N4567075,5/1/2021,3/29/2021,TOYOTA,HIGHLN,2021,48,Riverside Toyota,New,46640,3072.91,6278
M7120015,5/1/2021,4/10/2021,TOYOTA,HIGHLN,2021,50,Riverside Toyota,New,46184.25,3486.8,250
K4021702,5/1/2021,3/3/2021,TOYOTA,HIGHLN,2021,78,Riverside Toyota,New,44085.61,-385.48,0
S4985764,5/1/2021,4/9/2021,TOYOTA,HIGHLN,2021,73,Riverside Toyota,New,41241.19,562.74,2330
K5311945,5/1/2021,2/16/2021,TOYOTA,CAMR,2021,35,Riverside Toyota,New,23342,-44.09,300
K4570127,5/1/2021,2/18/2021,TOYOTA,HIGHLN,2021,28,Riverside Toyota,New,48914,5578.91,4030
T6737353,5/1/2021,3/8/2021,TOYOTA,COROL,2021,36,Riverside Toyota,New,24832,1392.91,300
T7969992,5/1/2021,3/10/2021,TOYOTA,CAMR,2021,71,Riverside Toyota,New,25327,1008.91,976
L1647488,5/1/2021,3/19/2021,TOYOTA,SIENNA,2021,20,Riverside Toyota,New,49653.57,5950.48,0
T1661263,5/1/2021,3/24/2021,TOYOTA,CAMR,2021,61,Riverside Toyota,New,20590.46,-2965.63,100
M4933083,5/1/2021,3/25/2021,TOYOTA,4RUN,2021,88,Riverside Toyota,New,48358.46,3341.42,0
K8399010,5/1/2021,2/22/2021,TOYOTA,COROL,2021,28,Riverside Toyota,New,17983,-2646.45,0
T5863636,5/1/2021,2/19/2021,TOYOTA,CAMR,2021,38,Riverside Toyota,New,29706,891.91,323.94
N5830925,5/1/2021,3/19/2021,TOYOTA,COROL,2021,56,Riverside Toyota,New,16415.7,-3213.75,0
L4028949,5/1/2021,2/26/2021,TOYOTA,4RUN,2021,52,Riverside Toyota,New,48228,2952.91,1530.09
L6610615,5/2/2021,3/9/2021,TOYOTA,CAMR,2021,91,Riverside Toyota,New,34993,633.16,343.08
T6493454,5/2/2021,4/12/2021,TOYOTA,HIGHHY,2021,57,Riverside Toyota,New,52265,3936.91,3480.99
K7741510,5/2/2021,3/8/2021,TOYOTA,SIENNA,2021,59,Riverside Toyota,New,37357,2454.91,370.9
S9996076,5/2/2021,3/19/2021,TOYOTA,COROL,2021,42,Riverside Toyota,New,17558,-1846.07,3732.43
K9880660,5/2/2021,2/27/2021,TOYOTA,CAMR,2021,6,Riverside Toyota,New,25254.91,-60.54,301
N9230550,5/2/2021,2/23/2021,TOYOTA,TACO,2021,73,Riverside Toyota,New,34802,3939.91,2057.24
